# SYNTHETIC DATA — NOT FROM CESC OR ANY REAL ENTERPRISE
finding_id,asset_id,cve_id,first_seen,last_seen,status,remediation_deadline,scanner_source
FND-001,AST-001,CVE-2024-6387,2026-07-05,2026-09-01,OPEN,2026-07-20,Tenable-OT-Scanner
FND-002,AST-001,CVE-2023-48795,2026-01-10,2026-09-01,OPEN,2026-03-01,Qualys-Network-Sensor
FND-003,AST-002,CVE-2024-38077,2026-07-15,2026-08-28,OPEN,2026-08-01,Internal-Nessus-Engine
FND-004,AST-003,CVE-2024-6387,2026-07-08,2026-09-02,OPEN,2026-07-25,Qualys-Cloud-Agent
FND-005,AST-004,CVE-2023-46604,2026-02-18,2026-08-30,OPEN,2026-03-15,Tenable-Enterprise
FND-006,AST-005,CVE-2023-38606,2025-12-01,2026-08-15,OPEN,2026-01-30,Substation-Passive-Monitor
FND-007,AST-006,CVE-2023-38606,2026-01-15,2026-08-20,OPEN,2026-02-28,Internal-Nessus-Engine
FND-008,AST-007,CVE-2024-3400,2026-04-18,2026-09-01,OPEN,2026-05-01,Qualys-Network-Sensor
FND-009,AST-008,CVE-2023-48795,2026-03-05,2026-08-25,OPEN,2026-04-15,Tenable-OT-Scanner
FND-010,AST-010,CVE-2023-22518,2026-04-10,2026-08-29,OPEN,2026-05-05,Internal-Nessus-Engine
FND-011,AST-011,CVE-2023-38606,2025-10-12,2026-08-10,OPEN,2025-12-15,Substation-Passive-Monitor
FND-012,AST-012,CVE-2024-21762,2026-02-15,2026-09-02,OPEN,2026-03-01,Qualys-Cloud-Agent
FND-013,AST-012,CVE-2023-27997,2026-01-25,2026-09-02,OPEN,2026-02-28,Tenable-Enterprise
FND-014,AST-013,CVE-2023-36884,2026-05-25,2026-08-18,OPEN,2026-06-30,Internal-Nessus-Engine
FND-015,AST-014,CVE-2024-21413,2026-04-02,2026-09-01,OPEN,2026-04-25,Tenable-Enterprise
FND-016,AST-014,CVE-2024-38077,2026-07-20,2026-09-01,OPEN,2026-08-10,Internal-Nessus-Engine
FND-017,AST-015,CVE-2024-6387,2026-07-12,2026-08-28,OPEN,2026-08-01,Qualys-Network-Sensor
FND-018,AST-003,CVE-2023-3519,2026-05-10,2026-09-02,OPEN,2026-06-01,Qualys-Cloud-Agent
FND-019,AST-007,CVE-2024-23897,2026-06-30,2026-09-01,OPEN,2026-07-20,Tenable-Enterprise
FND-020,AST-001,CVE-2024-24919,2026-06-01,2026-09-01,OPEN,2026-06-25,Tenable-OT-Scanner
